name,address,rating
La Mère Brazier - Mathieu Viannay,"12, rue Royale 69001 Lyon","9,5"
L'Antigny,"15, rue du Chariot d'Or 69004 Lyon","9,2"
Thai Harmonie,149 Rue Cuvier 69006 Lyon,"8,9"
La Tablature,"12, rue Béchevelin 69007 Lyon","8,9"
Le Bistrot du 6ème,22 Rue Cuvier 69006 Lyon,"8,9"
Le Petit Carron,48 avenue Felix Faure 69003 Lyon,9
Chez Eux,"180, rue de Créqui 69003 Lyon","8,9"
Restaurante Milonga,"59, Rue Ney 69006 Lyon",9
Tout le Monde à Table,1 Rue du 24 Mars 1852 69009 Lyon,"8,9"
Le Marélie,85 Rue Moncey 69003 Lyon,"9,1"
Carré Saône,"9, rue de la Quarantaine 69005 Lyon","8,8"
O Jardin,"56, rue Saint-Pierre de Vaise 69009 Lyon","8,7"
Au Château d'If,127 rue de Gerland 69007 Lyon,"8,6"
Le Bistrot Rive Gauche (BRG),"22, quai Charles de Gaulle 69006 Lyon","8,7"
La Table d'Eugène,"18, rue Royale 69001 Lyon","8,9"
Les Loges - Anthony Bonnet,"6, rue du Bœuf 69005 Lyon","9,5"
Le Lounge - Warwick Reine Astrid,"24, boulevard des Belges 69006 Lyon","8,8"
Au Temps Perdu,"2, rue des Fantasques 69001 Lyon",9
Matsuri Lyon Presqu'île,7 rue de la Fromagerie 69001 Lyon,"8,8"
Le Caro de Lyon,"25, rue du Bât d’Argent 69001 Lyon","8,7"
L'Atelier Côté Rhône,1 rue de la Victoire 69003 Lyon,"9,2"
Au 14 Février Vieux Lyon,"6, rue Mourguet 69005 Lyon","9,5"
Mika Sushi,"155, rue Cuvier 69006 Lyon","8,8"
Le Pain de Sucre,"82, rue Masséna 69006 Lyon","8,9"
Cuisine et Dépendances Acte 2 - Fabrice Bonnot,"68, rue de la Charité 69002 Lyon","9,2"
Les Gratinés,226 Rue Duguesclin 69003 Lyon,"8,8"
Le Basilik,9 rue du Pierre Marion 69005 Lyon,"8,8"
Coeur du Pitre,"27, rue de Saint-Cyr 69009 Lyon","8,8"
Le Petit Carré,"72, rue Saint-Georges 69005 Lyon",9
L'Episens,8 Rue Palais Grillet 69002 Lyon,9
La Cuisine de Lindouce,"5, rue des 3 Pierres 69007 Lyon","5,3"
Mont Fuji,17 Rue Sully 69006 Lyon,"8,7"
Brasserie Le Saxe,101 Avenue Maréchal de Saxe 69003 Lyon,"9,5"
Miko Sushi,"140, avenue Félix Faure 69003 Lyon","9,2"
Victoria Hall,"33, rue du Repos 69007 Lyon","9,3"
Têtedoie - Christian Têtedoie,Montée du Chemin Neuf 69005 Lyon,"8,6"
Espace Brasserie,"26, place Bellecour 69002 Lyon","8,8"
Toute une Histoire,"4, rue du Petit David 69002 Lyon","8,5"
La Cannelle,"103, quai Pierre Scize 69005 Lyon",9
Royal Indien,"14, rue Lainerie 69005 Lyon","8,4"
Le Cintra,"43, rue de la Bourse 69002 Lyon","8,8"
Le Théodore,"34, cours Franklin Roosevelt 69006 Lyon","8,9"
Le Karachi,"206, rue Garibaldi 69003 Lyon","8,9"
Les Demoiselles de Rochefort,"31, rue René Leynaud 69001 Lyon","8,6"
Au P'tit Zinc,"56, quai Pierre Scize 69005 Lyon","8,6"
Le Shalimar,"39, quai Docteur Gailleton 69002 Lyon","8,2"
Bistro Pizay,"4, rue Verdi 69001 Lyon","8,6"
Brasserie Midi Minuit,"83, cours Charlemagne 69002 Lyon","8,6"
Le Bistrot du Théâtre,38 Rue de Bourgogne 69009 Lyon,"9,4"
Les Trois Dômes - Christian Lherm,"20, quai Gailleton 69002 Lyon","9,1"
Matsuri Lyon Vaise,60 rue de Saint-Cyr 69009 Lyon,"8,6"
Au Resto',11 Montée Saint-Sébastien 69001 Lyon,"9,1"
My Soirée,"13, Rue Cuvier 69006 Lyon","8,6"
Les Filaos,"1, place Fernand Rey 69001 Lyon","8,8"
Campanile Lyon Part-Dieu,"31, rue Maurice Flandin 69003 Lyon","8,4"
Jardin du Bambou,"225, rue de Créqui 69003 Lyon","8,4"
L'Esprit Bistrot Garibaldi,"79, rue Garibaldi 69006 Lyon","8,8"
Puerto Argentino,"20, rue de la Rize 69003 Lyon",9
Brasserie Le Central,"177, avenue Thiers 69006 Lyon","8,4"
Yamato,"35, rue Sergent Michel Berthet 69009 Lyon","8,5"
Le Pailleron,"9, rue Pailleron 69004 Lyon","9,1"
Momento Sapori e Vini,"4, rue de Fleurieu 69002 Lyon","9,1"
Flair...Gourmandise & Connivence,"84, rue de la Charité 69002 Lyon","9,2"
Le Comptoir d'Ainay,"41, rue Auguste Comte 69002 Lyon","8,8"
Edo,"9 Rue Sainte-Catherine, lyon 69001 Lyon","8,2"
Matsuri Lyon Part-Dieu,"109, cours lafayette 69006 Lyon","8,5"
Lal Qila	,"4, place Saint-Paul			
 69005 Lyon","8,7"
La Maïoun,15 Rue de Bonald 69007 Lyon,"9,3"
Burger & Wine,"14, quai Antoine Riboud 69002 Lyon","8,3"
Le Plato,"1, rue Villeneuve 69004 Lyon","8,9"
Restaurant Vatel Lyon,8 Rue Duhamel 69002 Lyon,"9,2"
Le Café Français,"3, place Anthonin Poncet 69002 Lyon","8,4"
Happy Times,"3, Rue Verdi 69001 Lyon","8,1"
Le Frenchie's,100 Rue Duguesclin 69006 Lyon,"9,1"
ÉMÉSE,28 Rue Notre Dame 69006 Lyon,"8,9"
L'Esprit Bistrot Vaise,"53, rue Saint-Pierre de Vaise 69009 Lyon","8,4"
La Cocagne,"7, rue Aimé Collomb 69003 Lyon",8
La Maison Marie,"5, rue Tupin 69002 Lyon","9,1"
Chee Is Thai,"23, rue du Bas d'Argent 69001 Lyon","8,8"
Brasserie Élite,"20, place Carnot 69002 Lyon","8,2"
L'Opéra-bouffe,2 bis rue Giuseppe Verdi 69001 Lyon,"8,9"
La Table de Suzanne,"22, rue des Remparts d'Ainay 69002 Lyon","8,8"
Le Boeuf d'Argent,29 Rue du Bœuf 69005 Lyon,"9,3"
L'Étage,"4, place des Terreaux 69001 Lyon","9,3"
L'Adresse,"41, quai Pierre Scize 69009 Lyon",8
Yamato,"72, boulevard des Brotteaux 69006 Lyon","8,4"
Conakry,"112, Grande Rue de la Guillotiere 69007 Lyon","8,1"
Les Pampres Rouges,"4, place Neuve Saint-Jean 69005 Lyon","7,7"
A La Traboule,"3, place du Gouvernement 69005 Lyon","7,9"
Le bistrot des 4 Chapeaux,14 Rue des Quatre Chapeaux 69002 Lyon,"9,2"
Côté Berthelot,"200, avenue Berthelot 69007 Lyon","8,3"
Brasserie de la Bourse du Travail,"69, rue Moncey 69003 Lyon","8,4"
La Gamelle de Montchat,29 Cours Richard Vitton 69003 Lyon,9
Burgundy Lounge,"24, quai Saint-Antoine 69002 Lyon","9,4"
Pierre Orsi,"3, place Kléber
 69006 Lyon","9,1"
Le Petit Persan,"8, rue Longue 69001 Lyon","9,1"
Le Garage,"67, avenue du Maréchal de Saxe 69003 Lyon","8,6"
Midi Minuit République,"10 Rue de la République, Lyon, France 69001 Lyon","8,2"
Casa Lola,5 Rue Pizay 69001 Lyon,"8,8"
Le Bouche à Oreille,"9, rue Claudia 69002 Lyon","8,5"
Restaurant Pourquoi Pas,"71, rue Pierre Corneille 69006 Lyon","8,3"
Yoshi,5 Rue Dumenge 69004 Lyon,"8,3"
Restaurant de Fourvière,"9, place de Fourvière 69005 Lyon","8,3"
Le Saint Vincent,"6, place Fernand Rey 69001 Lyon","8,3"
Edomae Sushi,"116, rue Paul Bert 69003 Lyon","8,3"
Un Moment à Part,"40, rue de la charité 69002 Lyon","8,2"
L'Attrape-Coeurs,"10, rue Burdeau 69001 Lyon","8,4"
Le Bistrot du Potager #2,163 Boulevard de Stalingrad 69006 Lyon,"9,1"
Le Bouchon des Cordeliers,"15, rue Claudia 69002 Lyon",9
Quirinale,"6, rue Bossuet 69006 Lyon","8,7"
Café Épicerie - Hôtel Cour des Loges,"2-8, rue du Boeuf 69005 Lyon","8,6"
L'Epicerie Comptoir - Vaise,"39, rue des Docks 69009 Lyon","9,1"
Naruto Sushi,"37, rue Marietton 69009 Lyon","8,3"
Un Sushi,"117, rue Servient 69003 Lyon","8,2"
Do Mo Restaurant,"45, quai Rambaud 69002 Lyon","8,4"
La Crêperie du Major,"12, rue Major Martin 69001 Lyon","9,1"
L'Atelier du Pizzaiolo,"5, quai Antoine Riboud 69002 Lyon","8,9"
Le Cazenove,"75, rue Boileau 69006 Lyon","9,4"
Jour de Marché,"14, rue Molière 69006 Lyon",9
Brasserie Le Nord,"18, rue Neuve 69002 Lyon","8,9"
Intermezzo,"1, quai Antoine Riboud 69002 Lyon","8,8"
Crêperie Praline et Fleur de Sel,"95, rue de Gerland 69007 Lyon","8,6"
Meiji Era,"13, rue Thomassin 69002 Lyon","8,2"
Burger & Wine Martinière,"27 Rue de la Martinière, Lyon, France 69001 Lyon","7,9"
